method,pair,n,simwavlm,simecapa,f0pcc,wer,utmos
a3_no_cycle,zh_zh,25,"0.412 [0.393,0.431]","-0.048 [-0.057,-0.038]","0.025 [-0.061,0.115]","1.119 [1.023,1.244]","1.156 [1.147,1.166]"
a3_no_cycle,en_es,25,"0.519 [0.487,0.553]","-0.049 [-0.069,-0.028]","-0.006 [-0.154,0.129]","0.976 [0.965,0.986]","1.154 [1.145,1.161]"
a3_no_cycle,en_fr,25,"0.519 [0.488,0.552]","-0.046 [-0.067,-0.025]","0.038 [-0.109,0.167]","0.999 [0.997,1.000]","1.154 [1.149,1.160]"
a3_no_cycle,en_de,25,"0.516 [0.486,0.548]","-0.049 [-0.070,-0.027]","-0.024 [-0.174,0.110]","0.997 [0.992,1.000]","1.161 [1.154,1.168]"
a3_no_cycle,en_hi,25,"0.509 [0.477,0.544]","-0.045 [-0.067,-0.024]","0.007 [-0.132,0.131]","0.972 [0.954,0.997]","1.158 [1.151,1.165]"
a3_no_cycle,en_ja,25,"0.521 [0.489,0.556]","-0.048 [-0.068,-0.026]","0.012 [-0.123,0.130]","0.933 [0.922,0.943]","1.155 [1.149,1.160]"
a3_no_cycle,zh_ja,25,"0.388 [0.370,0.406]","-0.047 [-0.057,-0.037]","-0.008 [-0.089,0.081]","0.943 [0.937,0.951]","1.156 [1.147,1.163]"
b1_f5,en_en,25,"0.911 [0.888,0.931]","0.647 [0.616,0.675]","0.323 [0.168,0.481]","0.216 [0.110,0.340]",—
b1_f5,en_zh,25,"0.823 [0.792,0.850]","0.500 [0.470,0.530]","0.132 [-0.028,0.283]","0.304 [0.185,0.438]",—
b1_f5,zh_en,25,"0.898 [0.878,0.915]","0.582 [0.528,0.633]","0.138 [0.032,0.254]","0.886 [0.730,1.039]",—
b1_f5,zh_zh,25,"0.915 [0.905,0.925]","0.607 [0.557,0.653]","-0.057 [-0.168,0.048]","1.044 [0.833,1.295]",—
b1_f5,en_es,25,"0.897 [0.869,0.922]","0.623 [0.585,0.657]","0.148 [0.007,0.290]","0.847 [0.715,0.978]",—
b1_f5,en_fr,25,"0.917 [0.897,0.935]","0.623 [0.590,0.653]","0.248 [0.110,0.384]","0.836 [0.664,1.028]",—
b1_f5,en_de,25,"0.911 [0.884,0.933]","0.651 [0.617,0.681]","0.060 [-0.106,0.220]","0.867 [0.774,0.960]",—
b1_f5,en_hi,25,"0.894 [0.872,0.914]","0.530 [0.487,0.571]","0.046 [-0.140,0.235]","1.201 [1.048,1.398]",—
b1_f5,en_ja,25,"0.844 [0.818,0.870]","0.487 [0.454,0.520]","0.066 [-0.091,0.234]","1.013 [0.941,1.092]",—
b1_f5,zh_ja,25,"0.878 [0.847,0.904]","0.482 [0.401,0.557]","0.048 [-0.077,0.165]","0.973 [0.939,1.018]",—
b2_random_adam,en_en,25,"0.912 [0.885,0.934]","0.643 [0.608,0.675]","0.186 [-0.013,0.349]","0.158 [0.076,0.245]","2.411 [2.270,2.550]"
b2_random_adam,en_zh,25,"0.811 [0.781,0.839]","0.488 [0.458,0.516]","0.125 [-0.029,0.284]","0.247 [0.161,0.343]","2.467 [2.324,2.605]"
